%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.16,59.94024658,2.27863884,5.428794924,1.915466309,341.9232586,1.691654205,288.581543,125.2611694,3.6211627629697865,39.20501414974357,722.3601378675415,2,10.7,10.2,61.9,WE10
0.16,59.94024658,2.27863884,5.428794924,1.915466309,341.9232586,1.691654205,288.581543,125.2611694,4.45,34.89879820630023,899.9046088540692,2,10.0,11.9,61.9,WE10
0.14,60.03578186,2.244846344,5.405366308,1.958367944,340.3968699,1.694408417,344.5117188,125.3557739,4.002050855215373,37.92536563517333,660.3244181587302,2,9.9,17.3,62.0,WE10
0.14,60.03578186,2.244846344,5.405366308,1.958367944,340.3968699,1.694408417,344.5117188,125.3557739,4.156370646149305,36.401594856132654,825.3537904567187,2,9.7,16.5,62.0,WE10
0.16,60.10409546,2.281801224,5.368204772,1.959576368,342.8311572,1.677185059,344.5874023,125.2382202,4.317523096249756,39.71810153226368,713.5679443354893,2,10.1,12.3,62.0,WE10
0.14,60.19917297,2.25868988,5.408926695,1.946282983,340.5972688,1.695268631,329.375,125.166748,3.5365395815137566,36.9299095892052,881.2337100714875,2,9.6,15.8,62.0,WE10
0.13,60.24685669,2.258232117,5.345348362,1.954742432,342.6053269,1.685316086,285.4785156,125.234436,4.184823303340552,40.3885787929422,888.3767449436646,2,10.4,14.4,61.8,WE10
0.14,60.30221558,2.250587463,5.347382868,1.952929735,341.7798258,1.688030243,313.5571289,125.2718506,3.4317538131315777,38.34260220034999,866.387614335371,2,9.5,17.0,62.0,WE10
0.13,60.30221558,2.250587463,5.347382868,1.952929735,341.7798258,1.688030243,313.5571289,125.2718506,3.9626699624033743,39.00749732203443,842.4722271574784,2,10.3,14.1,61.8,WE10
0.13,60.35388184,2.250255585,5.353327442,1.952929735,341.6211343,1.696619034,310.7568359,125.1900635,3.965918205739336,38.22037700419585,814.3500341619678,2,10.1,15.7,61.9,WE10
0.13,60.11865234,2.280258179,5.225725728,1.953735352,337.6869071,1.692146301,268.2226563,125.230957,4.186727325463213,40.10795598792788,878.0570813031372,2,10.1,17.1,61.9,WE10
0.14,60.13673401,2.26858902,5.308631874,1.9571594,340.2412302,1.684896469,355.4101563,125.1755981,4.098318921504684,39.17344917348246,803.8801494453085,2,9.8,14.5,61.9,WE10
0.14,60.13673401,2.26858902,5.308631874,1.9571594,340.2412302,1.684896469,355.4101563,125.1755981,4.05641439848853,34.74486756068913,750.1814373260222,2,9.8,18.2,61.9,WE10
0.13,60.13673401,2.26858902,5.308631874,1.9571594,340.2412302,1.684896469,355.4101563,125.1755981,4.257173069702545,39.24310466287665,779.513577430272,2,10.2,13.5,62.0,WE10
0.13,60.08345032,2.261463165,5.228364229,1.95313108,341.8154297,1.675201416,303.4155273,125.1605225,3.938891075403266,39.8988455230573,799.135701803393,2,9.6,14.3,62.0,WE10
0.14,60.09593201,2.273532867,5.268609313,1.955749512,340.9868769,1.692182541,296.5283203,125.0922852,3.344465769927266,41.672077141729446,802.341710860732,2,10.0,16.3,61.9,WE10
0.13,60.09593201,2.273532867,5.268609313,1.955749512,340.9868769,1.692182541,296.5283203,125.0922852,4.409955071468687,39.10800991181733,766.1177018830363,2,9.7,14.2,61.9,WE10
0.14,60.09593201,2.273532867,5.268609313,1.955749512,340.9868769,1.692182541,296.5283203,125.0922852,4.45,39.13562732601926,801.3805568637544,2,10.0,17.6,61.9,WE10
0.13,60.1733551,2.274162292,5.222260709,1.955749512,341.0123082,1.68601799,300.3125,125.1532593,3.948276107423213,35.74099129051003,823.1887611938238,2,9.5,16.0,61.9,WE10
0.13,60.10722351,2.23081398,5.251125272,1.956958055,340.4716381,1.683513641,316.7358398,125.1594849,3.6867991749648983,39.184310822353964,849.4046001056023,2,9.8,18.4,61.9,WE10
0.14,60.10722351,2.23081398,5.251125272,1.956958055,340.4716381,1.683513641,316.7358398,125.1594849,4.092855944226835,37.19964442499075,766.2815678792322,2,9.7,14.3,61.9,WE10
0.14,60.10722351,2.23081398,5.251125272,1.956958055,340.4716381,1.683513641,316.7358398,125.1594849,4.020736432655519,36.88860862410639,861.649614808582,2,9.7,15.7,61.9,WE10
0.13,60.13044739,2.271858215,5.309363025,1.943664551,341.8474732,1.677116394,286.2353516,125.1810913,3.788828157704986,38.67449485508007,781.3196402190881,2,9.6,16.8,61.9,WE10
0.14,60.13201904,2.283939362,5.534811794,1.943866014,340.1979969,1.686910629,320.8227539,125.2770386,3.8821676869074815,36.03197668333135,708.7877897734,2,10.0,14.7,61.9,WE10
0.14,60.13201904,2.283939362,5.534811794,1.943866014,340.1979969,1.686910629,320.8227539,125.2770386,4.337357928040378,38.19210338333954,760.1558735949095,2,10.1,16.9,61.9,WE10
0.13,60.14128113,2.239210129,5.577663591,1.966223121,340.8571771,1.657144547,326.4233398,124.9623413,3.941220416185679,38.614283909849576,811.458101209136,2,9.9,15.7,61.9,WE10
0.14,60.20254517,2.270114899,5.649697842,1.96018064,339.8587429,1.686431885,330.8129883,124.9484253,4.309016749463915,35.73263957930707,660.075811925332,2,9.9,13.5,61.9,WE10
